-84.332856 8.567144 -2835.200452
-84.345401 8.582883 -2849.071652
-84.357946 8.596067 -2881.898005
-84.376878 8.606697 -2945.736575
-84.389423 8.615410 -2929.797273
-84.421129 8.628595 -2856.805025
-84.443255 8.634754 -2899.665677
-84.433447 8.647300 -2783.001440
-84.487506 8.662400 -3369.401716
-84.468118 8.677500 -3015.698094
-84.487050 8.686853 -3084.510035
-84.509176 8.703869 -3127.032385
-84.528108 8.713859 -3164.080005
-84.543847 8.723850 -3217.135098
-84.559586 8.735757 -3282.943720
-84.578518 8.747663 -3323.296828
-84.591063 8.759570 -3455.811037
-84.609995 8.771476 -3504.264224
-84.625734 8.783383 -3526.049024
-84.641473 8.792735 -3589.820759
-84.660405 8.804003 -3591.975131
-84.685724 8.814632 -3593.644429
-84.695076 8.825261 -3594.854788
-84.714008 8.836529 -3604.461854
-84.729747 8.847158 -3617.370296
-84.745486 8.853955 -3618.551710
-84.773998 8.860114 -3619.489327
-84.802510 8.864356 -3600.483975
-84.824636 8.866683 -3568.554795
-84.849955 8.870926 -3579.145452
-84.875274 8.876446 -3559.991161
-84.894206 8.884520 -3595.610653
-84.916332 8.892595 -3584.001816
-84.925684 8.901947 -3536.943405
-84.951003 8.911299 -3586.732296
-84.969935 8.921289 -3579.978537
-84.988867 8.930003 -3563.495156
-85.007799 8.939993 -3538.551618
-85.023538 8.951261 -3544.424454
-85.042470 8.959336 -3570.363475
-85.055015 8.970604 -3639.284374
-85.089914 8.979956 -3605.607130
-85.092879 8.990585 -3595.345159
-85.118198 8.998660 -3642.063958
-85.130743 9.009289 -3655.361274
-85.156062 9.014809 -3693.357994
-85.178188 9.026077 -3713.156894
-85.206700 9.036068 -3695.994764
-85.203279 9.047336 -3663.021895
-85.222211 9.059882 -3694.930712
-85.241143 9.071150 -3702.527530
-85.256882 9.081779 -3735.701541
-85.291781 9.090492 -3720.784136
-85.291553 9.097928 -3719.097459
-85.320065 9.105364 -3718.632658
-85.345384 9.115993 -3703.358483
-85.361123 9.124068 -3678.128603
-85.380055 9.129587 -3644.481170
-85.392600 9.133830 -3623.640037
-85.433886 9.129770 -3493.189860
-85.465592 9.128903 -3306.272947
-85.522845 9.125481 -3431.637617
-85.525810 9.125892 -3529.837449
-85.551129 9.128219 -3552.463468
-85.573255 9.137571 -3587.603705
-85.595381 9.145007 -3648.656160
-85.617507 9.153721 -3650.947875
-85.630052 9.162434 -3703.510700
-85.648984 9.171786 -3720.010842
-85.671110 9.180500 -3697.417194
-85.690042 9.189213 -3694.966528
-85.715361 9.198565 -3683.753640
-85.727906 9.209194 -3739.077501
-85.743645 9.220462 -3758.404107
-85.759384 9.234285 -3796.943013
-85.775123 9.244275 -3786.945086
-85.787668 9.253627 -3775.928712
-85.819374 9.264896 -3763.691459
-85.838306 9.276803 -3775.847077
-85.844465 9.288710 -3773.827387
-85.857010 9.307642 -3793.172449
-85.869555 9.326574 -3809.629456
-85.866134 9.343591 -3841.065564
-85.885066 9.360607 -3864.741006
-85.900805 9.376984 -3915.036552
-85.913350 9.388252 -3919.926884
-85.929089 9.400798 -3927.593842
-85.951215 9.412704 -3926.032415
-85.963760 9.425889 -3920.362491
-85.982692 9.439712 -3948.673382
-85.988851 9.455451 -3998.849659
-86.001396 9.464164 -4030.971891
-86.013941 9.479265 -4039.127565
-86.061614 9.492449 -3986.278919
-86.048612 9.504994 -4174.139578
-86.064351 9.517540 -4178.194662
-86.080090 9.536472 -4199.023338
-86.092635 9.550294 -4211.464533
-86.108374 9.564756 -4241.046408
-86.120919 9.579217 -4257.925475
-86.133464 9.592401 -4271.956602
-86.149203 9.606224 -4315.091461
-86.168135 9.620047 -4340.453909
-86.180680 9.633869 -4352.193559
-86.193225 9.648331 -4382.340812
-86.205770 9.663431 -4395.473496
-86.218315 9.677893 -4404.900640
-86.234054 9.693631 -4403.377068
-86.249793 9.710009 -4401.064129
-86.255952 9.726386 -4439.209475
-86.265304 9.744041 -4540.631948
-86.277849 9.762335 -4581.245012
-86.287201 9.779989 -4570.958924
-86.299746 9.797006 -4557.866241
-86.309098 9.810828 -4568.315095
-86.321643 9.826567 -4541.111700
-86.350155 9.842306 -4602.852006
-86.349927 9.856767 -4715.925727
-86.362472 9.870590 -4821.032188
-86.378211 9.887606 -4835.724790
-86.393950 9.901429 -4803.934781
-86.406495 9.915251 -4800.113911
-86.422234 9.929713 -4786.601481
-86.434779 9.945451 -4798.867780
-86.447324 9.960551 -4823.338134
-86.456676 9.976290 -4813.206792
-86.472415 9.991390 -4887.936483
-86.484960 10.008406 -4929.860294
-86.500699 10.023506 -4901.804219
-86.503664 10.039245 -4942.290555
-86.522596 10.055622 -5002.240849
-86.535141 10.072639 -5036.389082
-86.544493 10.085823 -5019.373249
-86.557038 10.100284 -5014.715040
-86.579164 10.114107 -5018.309108
-86.591709 10.127291 -5052.250211
-86.607448 10.140476 -5061.357085
-86.619993 10.154298 -5053.586308
-86.632538 10.168760 -5020.149355
-86.651470 10.183860 -4974.377397
-86.660822 10.197683 -4999.422060
-86.673367 10.210867 -4986.302234
-86.692299 10.224689 -4982.568464
-86.708038 10.239789 -5019.949880
-86.723777 10.253612 -5034.510835
-86.726742 10.270628 -5042.902603
-86.745674 10.287644 -5086.978737
-86.748639 10.304660 -5080.490568
-86.764378 10.320399 -5090.733459
-86.780117 10.336776 -5086.996706
-86.789469 10.351237 -5090.294588
-86.805208 10.365698 -5049.966378
-86.817753 10.381437 -5050.961462
-86.833492 10.396537 -5047.097925
-86.842844 10.412276 -5020.852100
